idx,phase,games,prize_decided,deckout_share,true_result,attach_zero_visit,attack_zero_visit,attack_avail,attack_chosen,game_length_hist
53,Main 5/25,25,1/25,68.0%,"P0_WINS=9,P1_WINS=16,DRAWS=0",40.62%(855/2105),10.58%(66/624),624,254,1-15:4|16-25:2|26-40:0|41-60:0|61+:19
54,Main 5/25,25,4/24,58.3%,"P0_WINS=12,P1_WINS=12,DRAWS=1",24.58%(333/1355),32.15%(100/311),311,69,1-15:4|16-25:4|26-40:4|41-60:4|61+:9
55,Main 5/25,25,8/25,40.0%,"P0_WINS=8,P1_WINS=17,DRAWS=0",27.81%(389/1399),19.76%(66/334),334,136,1-15:5|16-25:3|26-40:3|41-60:4|61+:10
56,Main 5/25,25,5/25,40.0%,"P0_WINS=15,P1_WINS=10,DRAWS=0",28.42%(409/1439),22.75%(53/233),233,77,1-15:6|16-25:2|26-40:6|41-60:5|61+:6
57,Main 6/25,25,7/25,72.0%,"P0_WINS=11,P1_WINS=14,DRAWS=0",25.06%(328/1309),31.93%(53/166),166,62,1-15:0|16-25:7|26-40:12|41-60:5|61+:1
58,Main 6/25,25,10/25,48.0%,"P0_WINS=14,P1_WINS=11,DRAWS=0",39.67%(451/1137),19.08%(100/524),524,184,1-15:3|16-25:6|26-40:6|41-60:4|61+:6
59,Main 6/25,25,8/25,36.0%,"P0_WINS=8,P1_WINS=17,DRAWS=0",40.95%(722/1763),20.57%(108/525),525,261,1-15:8|16-25:0|26-40:2|41-60:3|61+:12
60,Main 6/25,25,4/25,68.0%,"P0_WINS=17,P1_WINS=8,DRAWS=0",40.22%(652/1621),12.34%(39/316),316,121,1-15:3|16-25:1|26-40:5|41-60:5|61+:11
61,Main 6/25,25,1/24,75.0%,"P0_WINS=12,P1_WINS=12,DRAWS=1",32.64%(442/1354),30.15%(41/136),136,51,1-15:3|16-25:3|26-40:5|41-60:9|61+:5
62,Main 6/25,25,2/25,52.0%,"P0_WINS=13,P1_WINS=12,DRAWS=0",29.07%(395/1359),43.45%(156/359),359,124,1-15:3|16-25:4|26-40:5|41-60:7|61+:6
63,Main 7/25,25,3/25,68.0%,"P0_WINS=15,P1_WINS=10,DRAWS=0",17.20%(219/1273),33.54%(53/158),158,46,1-15:2|16-25:4|26-40:12|41-60:6|61+:1
64,Main 7/25,25,4/25,84.0%,"P0_WINS=19,P1_WINS=6,DRAWS=0",21.34%(242/1134),39.78%(183/460),460,133,1-15:0|16-25:2|26-40:10|41-60:10|61+:3
65,Main 7/25,25,10/25,24.0%,"P0_WINS=18,P1_WINS=7,DRAWS=0",44.28%(654/1477),18.97%(110/580),580,285,1-15:6|16-25:3|26-40:5|41-60:3|61+:8
66,Main 7/25,25,0/25,64.0%,"P0_WINS=9,P1_WINS=16,DRAWS=0",39.02%(778/1994),33.81%(165/488),488,128,1-15:4|16-25:4|26-40:0|41-60:2|61+:15
67,Main 7/25,25,3/25,60.0%,"P0_WINS=15,P1_WINS=10,DRAWS=0",31.49%(353/1121),54.73%(162/296),296,82,1-15:4|16-25:3|26-40:11|41-60:2|61+:5
68,Main 7/25,25,7/25,56.0%,"P0_WINS=14,P1_WINS=11,DRAWS=0",30.95%(451/1457),21.32%(58/272),272,125,1-15:3|16-25:1|26-40:10|41-60:5|61+:6
69,Main 8/25,25,5/25,60.0%,"P0_WINS=13,P1_WINS=12,DRAWS=0",26.58%(336/1264),26.27%(62/236),236,81,1-15:2|16-25:7|26-40:8|41-60:6|61+:2
70,Main 8/25,25,9/25,64.0%,"P0_WINS=13,P1_WINS=12,DRAWS=0",23.48%(386/1644),49.54%(108/218),218,69,1-15:0|16-25:3|26-40:6|41-60:14|61+:2
71,Main 8/25,25,12/25,48.0%,"P0_WINS=10,P1_WINS=15,DRAWS=0",39.71%(488/1229),22.52%(102/453),453,192,1-15:1|16-25:3|26-40:8|41-60:6|61+:7
72,Main 8/25,25,3/25,48.0%,"P0_WINS=10,P1_WINS=15,DRAWS=0",42.86%(994/2319),18.06%(82/454),454,195,1-15:5|16-25:2|26-40:2|41-60:1|61+:15
73,Main 8/25,25,2/25,56.0%,"P0_WINS=16,P1_WINS=9,DRAWS=0",40.93%(704/1720),49.88%(203/407),407,85,1-15:3|16-25:3|26-40:3|41-60:7|61+:9
74,Main 8/25,25,5/25,48.0%,"P0_WINS=12,P1_WINS=13,DRAWS=0",31.98%(393/1229),45.71%(96/210),210,68,1-15:6|16-25:3|26-40:4|41-60:6|61+:6
75,Main 8/25,25,3/25,56.0%,"P0_WINS=10,P1_WINS=15,DRAWS=0",35.66%(536/1503),32.74%(74/226),226,52,1-15:4|16-25:1|26-40:9|41-60:6|61+:5
